Date/Time,CHARGE SCH:Schedule Value [](TimeStep),CHILLER TEMP SCH:Schedule Value [](TimeStep),ICE TANK TEMP SCH:Schedule Value [](TimeStep),NUM TANKS:Schedule Value [](TimeStep),CHRG TEMP:Schedule Value [](TimeStep),TRIM TEMP:Schedule Value [](TimeStep),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 0 374TONS 0.6KW/TON:Chiller Electricity Rate [W](TimeStep),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 1 374TONS 0.6KW/TON:Chiller Electricity Rate [W](TimeStep),mdot_branch:PythonPlugin:OutputVariable [](TimeStep),mdot_tank:PythonPlugin:OutputVariable [](TimeStep),soc:PythonPlugin:OutputVariable [](TimeStep),t_branch_in:PythonPlugin:OutputVariable [](TimeStep),t_branch_out:PythonPlugin:OutputVariable [](TimeStep),t_tank_out:PythonPlugin:OutputVariable [](TimeStep),Electricity:Facility [J](TimeStep),NaturalGas:Facility [J](TimeStep)
 09/19  14:00:00,-1.0,10.0,6.7,1.0,-3.8,10.0,0.0,197617.14334322934,63.89465090867328,37.24718529439607,0.18108704759082606,10.0,9.552480718925716,9.552480718925716,1042932211.7317598,20961701.61278391
 09/19  14:10:00,-1.0,9.583915046998172,6.7,1.0,-3.8,10.0,0.0,200339.91771290192,63.89465090867328,37.24718529439607,0.1496542776510239,10.0,9.595602703124303,9.595602703124303,1044213284.6522768,20819781.508833252
 09/19  14:20:00,-1.0,8.892394108322526,6.7,1.0,-3.8,10.0,0.0,200317.6567223485,63.89465090867328,37.24718529439607,0.12132669258282847,9.970003392713412,9.612341461412115,9.612341461412115,1044296945.8775467,20811255.95781683
 09/19  14:30:00,-1.0,8.269187236822226,6.7,1.0,-3.8,10.0,0.0,200425.5580777204,63.89465090867328,37.24718529439607,0.09608428106720812,10.011539602149416,9.699082014186407,9.699082014186407,1044518013.1178981,20818975.097001564
 09/19  14:40:00,-1.0,7.7138541834785785,6.7,1.0,-3.8,10.0,0.0,200589.46000239445,63.89465090867328,37.24718529439607,0.07399113484919928,10.066967125359579,9.798860334549783,9.798860334549783,1045235712.785394,20826644.985847257
 09/19  14:50:00,-1.0,7.227804966682384,6.7,1.0,-3.8,10.0,0.0,200800.4094103463,63.89465090867328,37.24718529439607,0.05500102196997381,10.1336345354855,9.907613554315898,9.907613554315898,1046301124.7544286,23636898.011235733
 09/19  15:00:00,-1.0,6.810022483339424,6.7,1.0,-3.8,10.0,0.0,201049.28900378497,63.89465090867328,37.24718529439607,0.03896883594745426,10.206618129884212,10.019316946557353,10.019316946557353,1047767400.7498268,26361226.866609883
 09/19  15:10:00,-1.0,6.7,6.7,1.0,-3.8,10.0,0.0,200876.31197329197,63.89465090867328,37.24718529439607,0.03888279209768164,10.285907444569489,10.285907444569489,10.285907444569489,1093162420.5900419,30934982.845863912
 09/19  15:20:00,-1.0,6.7,6.7,1.0,-3.8,10.0,0.0,200616.96824423896,63.89465090867328,37.24718529439607,0.03879674824790891,10.390567863789503,10.390567863789503,10.390567863789503,1089664548.936289,22863346.43668367
 09/19  15:30:00,-1.0,6.7,6.7,1.0,-3.8,10.0,0.0,200382.69232613663,63.89465090867328,37.24718529439607,0.038710704398136286,10.46241387158563,10.46241387158563,10.46241387158563,1082143461.3774621,23545768.83864422
